T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/g)-TOTAL	Specific heat (J/(g K))-TOTAL	Latent heat (J/g)-TOTAL
400.0	0.0	1.0	8.18191	0.0	54.28501	27.81177	1.68636	0.0	0.5	124.027	 	0.0
395.0	0.0	1.0	8.1864	-0.0548608	54.49417	27.72153	1.69347	0.0	0.5	123.04	0.1974	0.0
390.0	0.0	1.0	8.19088	-0.10951	54.71115	27.63128	1.70068	0.0	0.5	122.053	0.1974	0.0
385.0	0.0	1.0	8.19534	-0.16393	54.93628	27.54104	1.70801	0.0	0.5	121.065	0.1976	0.0
380.0	0.0	1.0	8.1998	-0.21815	55.1699	27.4508	1.71544	0.0	0.5	120.077	0.1976	0.0
375.0	0.0	1.0	8.20424	-0.27214	55.41239	27.36056	1.72299	0.0	0.5	119.089	0.1976	0.0
370.0	0.0	1.0	8.20866	-0.32592	55.66411	27.27032	1.73066	0.0	0.5	118.1	0.1978	0.0
365.0	0.0	1.0	8.21308	-0.37949	55.92549	27.18008	1.73845	0.0	0.5	117.111	0.1978	0.0
360.0	0.0	1.0	8.21748	-0.43284	56.19696	27.08984	1.74636	0.0	0.5	116.121	0.198	0.0
355.0	0.0	1.0	8.22186	-0.48597	56.47896	26.9996	1.7544	0.0	0.5	115.13	0.1982	0.0
350.0	0.0	1.0	8.22624	-0.53888	56.772	26.90936	1.76256	0.0	0.5	114.139	0.1982	0.0
345.0	0.0	1.0	8.2306	-0.59158	57.07658	26.81912	1.77086	0.0	0.5	113.147	0.1984	0.0
340.0	0.0	1.0	8.23495	-0.64407	57.39326	26.72888	1.77929	0.0	0.5	112.155	0.1984	0.0
335.0	0.0	1.0	8.23928	-0.69633	57.72261	26.63863	1.78787	0.0	0.5	111.162	0.1986	0.0
330.0	0.0	1.0	8.2436	-0.74839	58.06528	26.54839	1.79658	0.0	0.5	110.168	0.1988	0.0
325.0	0.0	1.0	8.24791	-0.80022	58.42191	26.45815	1.80544	0.0	0.5	109.174	0.1988	0.0
320.0	0.0	1.0	8.2522	-0.85184	58.79322	26.36791	1.81445	0.0	0.5	108.18	0.1988	0.0
315.0	0.0	1.0	8.25649	-0.90324	59.17997	26.27767	1.82361	0.0	0.5	107.186	0.1988	0.0
310.0	0.0	1.0	8.26075	-0.95443	59.58298	26.18743	1.83293	0.0	0.5	106.193	0.1986	0.0
305.0	0.0	1.0	8.26501	-1.0054	60.0031	26.09719	1.84241	0.0	0.5	105.2	0.1986	0.0
300.0	0.0	1.0	8.26925	-1.05616	60.44129	26.00695	1.85206	0.0	0.5	104.208	0.1984	0.0
295.0	0.0	1.0	8.27347	-1.1067	60.89853	25.91671	1.86188	0.0	0.5	103.215	0.1986	0.0
290.0	0.0	1.0	8.27768	-1.15702	61.37591	25.82647	1.87187	0.0	0.5	102.223	0.1984	0.0
285.0	0.0	1.0	8.28188	-1.20713	61.87459	25.73623	1.88204	0.0	0.5	101.231	0.1984	0.0
280.0	0.0	1.0	8.28607	-1.25702	62.39583	25.64598	1.89239	0.0	0.5	100.239	0.1984	0.0
275.0	0.0	1.0	8.29024	-1.30669	62.94097	25.55574	1.90293	0.0	0.5	99.246	0.1986	0.0
270.0	0.0	1.0	8.29439	-1.35615	63.51149	25.4655	1.91367	0.0	0.5	98.254	0.1984	0.0
265.0	0.0	1.0	8.29854	-1.40539	64.10896	25.37526	1.9246	0.0	0.5	97.261	0.1986	0.0
260.0	0.0	1.0	8.30266	-1.45442	64.7351	25.28502	1.93574	0.0	0.5	96.267	0.1988	0.0
255.0	0.0	1.0	8.30678	-1.50323	65.39179	25.19478	1.9471	0.0	0.5	95.274	0.1986	0.0
250.0	0.0	1.0	8.31088	-1.55182	66.08107	25.10454	1.95866	0.0	0.5	94.279	0.199	0.0
245.0	0.0	1.0	8.31496	-1.6002	66.80515	25.0143	1.97046	0.0	0.5	93.284	0.199	0.0
240.0	0.0	1.0	8.31904	-1.64836	67.56647	24.92406	1.98248	0.0	0.5	92.289	0.199	0.0
235.0	0.0	1.0	8.32309	-1.69631	68.36767	24.83382	1.99474	0.0	0.5	91.292	0.1994	0.0
230.0	0.0	1.0	8.32714	-1.74404	69.21169	24.74358	2.00724	0.0	0.5	90.294	0.1996	0.0
225.0	0.0	1.0	8.33117	-1.79155	70.10173	24.65333	2.01999	0.0	0.5	89.298	0.1992	0.0
220.0	0.0	1.0	8.33518	-1.83885	71.04134	24.56309	2.033	0.0	0.5	88.303	0.199	0.0
215.0	0.0	1.0	8.33918	-1.88593	72.03442	24.47285	2.04628	0.0	0.5	87.309	0.1988	0.0
210.0	0.0	1.0	8.34316	-1.93279	73.08531	24.38261	2.05983	0.0	0.5	86.317	0.1984	0.0
205.0	0.0	1.0	8.34714	-1.97944	74.19883	24.29237	2.07367	0.0	0.5	85.326	0.1982	0.0
201.22	0.0	1.0	8.35013	-2.01461	75.08658	24.22407	2.08434	0.0	0.5	84.578	0.19764	0.0
200.0	0.01505	0.98495	8.35307	-2.04914	74.91012	24.36961	2.10225	4.50184E-7	0.49897	83.701	0.72158	0.393
